food,measure,g_or_ml,carbs_g,calories_kcal
Iogurte desnatado Baunilha Protein + zero Frimesa ®,1 pote,170,15,128
"Iogurte desnatado com preparado aveia, ameixa e amaranto Nesfit Nestlé ®",1 unidade,170,14,75
Iogurte desnatado com preparado de morango zero Tirol ®,1/2 copo,100,7,40
Iogurte desnatado com preparado de morango zero Tirol ®,1/2 copo,100,7,40
"Iogurte desnatado com preparado frutas vermelhas, aveia, e hibisco Nesfit Nestlé ®",1 unidade,150,12,75
Iogurte desnatado Molico triplo zero baunilha Nestlé ®,1 unidade,170,7,45
Iogurte desnatado Molico triplo zero morango Nestlé ®,1 unidade,170,7,41
Iogurte desnatado Morango Protein + zero Frimesa ®,1 pote,170,15,128
Iogurte desnatado Whey banana Verde Campo ®,1 unidade,250,15,126
Iogurte desnatado Whey cookies e cream Verde Campo ®,1 unidade,250,15,125
Iogurte desnatado Whey doce de leite Verde Campo ®,1 unidade,250,21,180
Iogurte doce de leite YoPRO Danone ®,1 garrafinha,250,13,127
Iogurte grãos VIV morango Vigor ®,1 copo,100,17,133
Iogurte Grego flocos Vigor ®,1 unidade,90,16,148
Iogurte Grego morango Batavo ®,1 copo,200,15,127
Iogurte Grego Nestlé light®,1 unidade,90,10,73
Iogurte Grego Nestlé tradicional ®,1 unidade,90,10,74
Iogurte Grego Vigor zero ®,1 unidade,90,5,49
Iogurte Grego Vigor ®,1 unidade,90,16,139
Iogurte Grego zero morango Vigor ®,1 unidade,90,6.5,50
Iogurte Molico total cálcio líquido Nestlé ®,1 unidade,170,8,73
Iogurte Molico total cálcio polpa (média) Nestlé ®,1 unidade,100,6,42
Iogurte morango Protein + zero Frimesa ®,1 unidade,170,15,128
Iogurte morango Tirol®,1 unidade,200,27,175
Iogurte morango YoPRO Danone ®,1/2 copo,100,5,51
Iogurte natural c/ mel Nestlé®,1 unidade,170,23,158
Iogurte natural desnatado (média),1 copo,170,11,82
Iogurte Natural Desnatado 2 Ingredientes Lacfree,1 copo,160,10,70
Iogurte natural desnatado Fiore ®,1 unidade,140,6,85
Iogurte natural desnatado Nestlé ®,1 unidade,160,8,57
Iogurte natural integral (média),1 copo,170,10,126
Iogurte Natural Integral 2 Ingredientes Verde Campo ®,1 copo,160,7.8,121
Iogurte natural integral Batavo ®,1 unidade,170,8,102
Iogurte natural integral Danone ®,1 unidade,180,10,121
Iogurte natural integral Nestlé ®,1 unidade,170,7,117
Iogurte Natural Whey Colherável Bicamada Banana com Canela 11g de Proteína Verde Campo,1 pote,140,20,124
Iogurte Natural Whey Colherável Tradicional 14g de Proteína Verde Campo,1 pote,140,10,96
Iogurte Natural Whey Cookies and Cream 28g de Proteína Verde Campo,1 copo,200,12,101
Iogurte Natural Whey Morango 21g de Proteína Verde Campo ®,1 copo,250,21,180
"Iogurte parcialmente desnatado cenoura, laranja e mel Nestlé ®",1 unidade,170,24,179
Iogurte parcialmente desnatado com calda  frutas vermelhas Batavo ®,1 unidade,100,16,97
Iogurte parcialmente desnatado com preparado de mel Nestlé ®,1 unidade,170,23,159
Iogurte parcilamente desnatado Morango com calda Nestlé ®,1 unidade,150,20,127
Iogurte pedaços abacaxi Batavo ®,1 copo,200,31,203
Iogurte pedaços morango Batavo ®,1 copo,200,28,192
Iogurte pedaços pêssego Batavo ®,1 copo,200,28,192
Iogurte Pense Zero Batido Tradicional Batavo ®,1 copo,200,8,56
Iogurte Pense zero Grego morango Batavo ®,1 unidade,100,6,60
Iogurte Pense Zero Grego Tradicional Batavo ®,1 pote,100,6,61
Iogurte Pense zero morango Batavo ®,1 unidade,100,5,34
Iogurte Pense zero Pedaços de morango Batavo ®,1 copo,100,6,40
Iogurte pêssego Tirol ®,1 unidade,200,27,175
Iogurte petit suisse Danoninho morango ®,1 unidade,40,5,41
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - framboesa e limão - Vigor ®",1 unidade,170,26,147
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - manga e maracujá - Vigor ®",1 unidade,170,26,147
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - tradicional - Vigor ®",1 copo,200,34,186
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - tradicional - Vigor ®",1 unidade,170,26,147
Iogurte VIV mel Vigor ®,1 unidade,150,19,134
Iogurte VIV natural Vigor ®,1 unidade,150,9.2,90
Iogurte Yorgus®  Kyds Baunilha,1 pouch,100,11,103
Iogurte Yorgus ®  Kyds Morango,1 pouch,100,11,103
Iogurte Yorgus ® Coco,2 pote,130,13,138
Iogurte Yorgus ® Completo Morango,1 garrafinha,250,16,136
Iogurte Yorgus ® Frutas Silvestres (polpa ao fundo),1 pote,130,13,100
Iogurte Yorgus ® Maçã e Canela (polpa ao fundo),1 pote,130,13,100
Iogurte Yorgus ® Mel,1 pote,130,10,98
Iogurte Yorgus® Morango sem Lactose (polpa ao fundo),1 pote,130,12,92
Iogurte Yorgus® Natural 0% Gordura,1 pote,130,3,70
Iogurte Yorgus® Natural Sem Lactose,1 pote,130,2.6,70
Iogurte Yorgus®Ultra Morango e Banana,1 garrafinha,300,21,156
Iogurte zero desnatado ameixa  Frimesa,1 copo,200,10,65
Iogurte zero desnatado morango Frimesa,1 unidade,165,10,68
Iogurte zero Itambé Fit ®,1 copinho,100,5,34
Iogurte zero lactose frutas vermelhas Frimesa®,1 unidade,170,22,130
Iogurte Zero Lactose Nestlé®,1 unidade,90,5,58
Isca de carne de porco,1 porção média,110,4,267
Isca frita de pirarucu,1 fatia média,100,0,269
"Jabuti, carne (cozida)",1 unidade,110,0,173
Jabuticaba,1 unidade,5,1,3
"Jabuticaba, Geléia (Helomar)",1 colher (sopa),20,13,51
"Jabuticaba, Geléia (Josepha)",1 colher (sopa),20,9,37
"Jabuticaba, Geléia (Linea Diet)",1 colher (sopa),20,7,18
"Jabuticaba, Geléia (Queensberry Diet)",1 colher (sopa),20,7,28
"Jabuticaba, Geléia (Queensberry)",1 colher (sopa),20,14,58
"Jabuticaba, suco (com açúcar)",1 copo americano duplo,240,31,125
"Jabuticaba, suco (sem açúcar)",1 copo americano duplo,240,12,49
Jaca,1 bago médio,12,3,11
"Jaca, carne de (Desfiada)",1 colher (sopa),20,5,18
"Jaca, cozida",1 porção média,50,13,55
Jacaré,1 pedaço médio,40,0,50
Jacked Potato (Outback) ®,1 porção,350,51,309
Jambalaya,1 xicara,245,37,384
Jambo cru,1 unidade média,40,3,11
Jambu cozido,1 colher de sopa cheia,20,1,6
Jamelão ou jambolão,1 unidade média,10,1,4
Jaraqui cru,1 pedaço médio,100,0,129
Jardineira de Legumes,1 colher (servir) cheia,60,5,26
Jardineira de Legumes com carne bovina,1 colher (servir) cheia,60,4,46
Jardineira de Legumes com carne de soja,1 colher (servir) cheia,60,8,58
Jardineira de Legumes com frango,1 colher (servir) cheia,60,3,60
Jenipapo,1 unidade pequena,60,15,68
Jiló,1 colher (sopa) cheia,60,4,16
Jiló com casca (frito),1 colher (sopa) cheia,60,5,156
Jiló com casca (refogado),1 colher (sopa) cheia,60,5,25
Joelho de porco (Einsbein),1 porção,100,0,227
"Juçara, Palmito",1 unidade,100,4,22
"Juçara, Palmito",1 colher (sopa) cheia,15,0,3
Jurubeba,1 unidade média,10,2,10
Kafta na bandeja,1 porção,100,2,173
Kani kama cru,1 unidade,20,3,21
Kanimaki,1 unidade,15,4,21
Kappamaki de pepino,1 unidade,15,6,25
Karo®,1 colher de sopa cheia,20,16,64
Kasespatzle (macarrão com queijo),1 pegador,130,28,290
Kasha (trigo sarraceno torrado),1 xícara de chá,168,33,155
Kasha (trigo sarraceno torrado),1 colher de sopa,35,7,32
Kebab de frango tradicional,1 unidade média,385,76,581
Kebab vegetariano (falafel) tradicional,1 unidade média,380,77,475
Kefir com leite de vaca,1 copo americano duplo,240,6,113
Ketchup de tomate,1 colher de sopa cheia,20,6,25
Kinder Bueno®,1 unidade,43,21,245
Kinder ovo®,1 unidade,20,10,110
Kinkan,1 unidade,10,2,7
"Kitkat®, chocolate",1 unidade,42,24,220
Kiwi,1unidade média,94,11,48
Lagarto bovino,1 pedaço médio,35,0,77
Lagosta,1 porção,100,0,83
"Laka®, chocolate",4 quadradinhos,25,15,135
Laranja baía,1 unidade media,180,20,82
"Laranja diet, geleia de (média)",1 colher de sopa (cheia),20,7,27
Laranja lima,1 unidade media,180,20,82
"Laranja, geleia de (média)",1 colher de sopa (cheia),20,12,49
Lasanha (média sabores),1 escumadeira,170,23,224
Lasanha à bolonhesa,1 escumadeira,170,28,312
Lasanha de berinjela a bolonhesa,1 colher de sopa cheia,80,4,79
Legumes refogados,1 colher de servir cheia,60,3,56
"Legumes, seleta",1 colher de sopa,25,3,14
Leite achocolatado,1 copo médio,240,34,194
Leite condensado,1 colher de sopa,15,9,47
Leite condensado desnatado,1 colher de sopa,15,11,40
Leite de amêndoa,1 copo,200,4,66
Leite de arroz,1 copo,200,12,63
Leite de aveia,1 copo,200,15,87
Leite de cabra,1 copo duplo cheio,240,9,161
Leite de castanha,1 copo,200,3,65
Leite de coco industrializado,1 colher de sopa,20,0,26
Leite de coco industrializado light,1 colher de sopa,20,0,17
Leite de soja,1 copo,200,8,67
Leite de soja zero,1 copo,200,3,56
Leite de vaca desnatado,1 copo duplo cheio,240,11,78
Leite de vaca desnatado em pó,1 colher (sopa) cheia,10,5,36
Leite de vaca integral em pó,1 colher (sopa) cheia,16,6,80
Leite de vaca integral pasteurizado,1 copo duplo cheio,240,11,154
Leite de vaca semi-desnatado,1 copo médio,240,11,97
Leite de vaca semi-desnatado sem lactose,1 copo médio,240,11,98
Leite fermendato,1 unidade,80,13,56
Leite humano maduro média,1 copo americano pequeno,165,10,112
Leite materno,1/2 copo,100,7,67
Lentilha cozida,1 colher sopa (cheia),18,3,17
Lichia,1 unidade,10,2,6
Licor,1 cálice,20,7,62
Licor 43,1 dose,50,11,150
Licor Amarula,1 dose,50,18,180
Licor Frangélico,1 dose,50,18,172
Licor Lemoncello,1 dose,50,22,171
Limão,1 colher de sopa cheia,12,1,4
Sundae chocolate (Mc’Donalds) ®,1 unidade,0,44,311
Sundae Kibon®,1 unidade,145,41,266
Sundae morango  (Mc’Donalds) ®,1 unidade,0,46,290
Sundae Morango (Bob’s)®,1 unidade,0,62,389
Super Coffee® Beijinho,1 dose,10,2,52
Super Coffee® Chocolate,1 dose,10,1,50
Super Coffee® Doce de Leite,1 dose,10,1,45
Super Coffee® Língua de Gato,1 dose,10,2,49
Super Coffee® Original,1 dose,10,1,49
Super Coffee® Paçoca,1 dose,10,2,52
Super Coffee® Pistache,1 dose,10,2,54
Super Coffee® Vanilla Latte,1 dose,10,1,50
Sushi de Atum,1 unidade,30,7,40
Sushi de Salmão,1 unidade,30,7,38
Sushi de salmão com manga e pepino,1 unidade média,30,7,40
Sushi de salmão e cream cheese,1 unidade média,30,7,51
Sushi Kappamaki,1 unidade média,15,5,17
Suspiro,1 unidade média,10,9,37
Suspiro Diet (Merenguinho®),1 unidade,2,1,5
Suspiro zero açúcar Doce Amor®,8 unidades,10,5,18
Suspiro zero açúcar Doce Amor®,1 unidade,1,1,2
Suspiro zero açúcar WheyViv®,1 pacotinho,25,6,66
Suspiro zero açúcar WheyViv®,1 unidade,1,0,2
Sustagem® Kids (média),1 colher de sopa,9,8,35
Sustagen®,1 colher sopa,10,6,38
Tabule,1 colher de servir,50,5.3,28
Taco de Carne Moída Soft- Taco Bell ®,1 unidade,92,17,207
Taco de Frango Soft  - Taco Bell ®,1 unidade,92,17,167
Tainha peixe filé cozido,1 posta pequena,100,0,189
Tâmara seca,1 unidade,7,6,22
Tamarindo,1 unidade média,8,6,22
Tambaqui recheado com castanha do pará e abricó,1 filé,156,3,236
Tangerina ponkã,1 unidade media,135,13,54
"Tangerina, Bergamota ou Mexerica",1 unidade grande,100,15,58
Tapioca com manteiga e sal,1 unidade pequena,80,50,282
"Tapioca, c/ leite condensado e coco",1 unidade média,110,67,344
"Tapioca, c/ queijo coalho e muçarela",1 unidade média,110,57,327
Tatu (carne),1 porção,100,0,172
Temaki,1 unidade,90,20,149
Temaki de Atum,1 unidade,100,18,157
Temaki de Salmão,1 unidade,100,18,190
Tempero Maggi fondor ®,1 colher de chá,5,1,3
Tender de porco bola,1 fatia média,35,0,42
Tequila,1 dose,50,0,110
"Terrine de legumes, com macaúba e major-gomes",1 porção pequena,50,2,60
Tiramissu,1 fatia média,100,24,283
Tiramissu gelato sem açúcar,1 fatia média,100,13,112
Toddy original pó ®,2 colheres de sopa,20,19,80
Toddynho ®,1 caixinha,200,27,167
Toddynho Levinho®,1 caixinha,200,15,89
Tofu,1 fatia média,40,1,26
Tomate,1 unidade pequena,50,2,10
"Tomate, molho industrializado",1 porção,100,8,38
"Tomate, purê industrializado",1 colher de sopa,20,1,3
Top sundae caramelo (Mc’ Donalds) ®,1 unidade,0,67,401
Top sundae chocolate (Mc’ Donalds) ®,1 unidade,0,60,396
Top sundae morango (Mc’ Donalds) ®,1 unidade,0,61,354
Toranja,1 unidade pequena,120,11,48
Torrada de pão francês caseira,1 unidade,8,6,29
Torrada Integral Bauducco,1 unidade,10,6,35
Torrada Magic Toast® cacau e cereais,6 biscoitos,18,14,66
Torrada Magic Toast® integral,6 biscoitos,18,12,64
Torrada Magic Toast® light em açúcares,6 biscoitos,18,14,65
Torrada Magic Toast® multicereal,6 biscoitos,18,12,60
Torrada Magic Toast® peito de peru,6 biscoitos,18,17,60
Torresmo,1 escumadeira,90,0,541
Torresmo,1 fatia,20,0,109
Torrone com amendoim Montevérgine ®,1/3 de barra grande,30,20,113
Torrone com amendoim Montevérgine ®,1 unidade pequena,10,6,40
Torta Churros Tortamania®,1 fatia fina,60,39,215
Torta de banana (Mc’ Donalds)®,1 unidade,0,26,198
Torta de batata com carne,1 fatia fina,80,8,116
Torta de batata com carne,1 fatia média,80,8,116
Torta de frango,1 fatia média,100,15,207
Torta de limão,1 fatia pequena,50,25,181
Torta de maçã (Mc’ Donalds) ®,1 unidade,0,29,205
Torta de morango,1 fatia pequena,60,29,150
Torta Floresta Negra Tortamania®,1 fatia pequena,60,24,163
Torta mesclada de morango Tortamania®,1 fatia fina,60,29,150
Torta Mousse de chocolate com raspas de chocolate Sadia®,1 Fatia fina,50,21,198
Torta Mousse de maracujá Sadia®,1 fatia fina,50,18,96
Tortilha com farinha de milho,1 unidade média,100,45,214
Toucinho cru,1 porção,100,0,593
"Toucinho defumado (bacon), frito, c/ alho e alecrim",1 fatia fina,15,1,98
Tremoço cru,1 colher de sopa cheia,15,6,49
Tremoço em conserva,1 colher de sopa,20,3,21
Trigo grão cru,1 colher de sopa,20,15,67
Trigo para quibe cozido,1 colher de sopa,25,5,19
"Trigo, bolo de",1 fatia média,60,36,203
"Trigo, farelo de",1 colher de sopa rasa,10,2,27
"Trigo, gérmen de",1 colher de sopa cheia,10,5,37
Trufa de chocolate com cereja,1 unidade grande,50,29,246
Trufa de chocolate com cereja e licor caseiro,1 unidade grande,50,29,243
Tucumã in natura,1 unidade,50,13,130
Tucunaré (filé cru),1 pedaço médio,120,0,113
Tutu de feijão,1 colher de servir cheia,60,9,92
Uísque,1 dose,50,0,105
Umbu,1 unidade,30,3,11
Umbu (Polpa),1 unidade,100,8,36
Uramaki  Filadelfia,1 unidade,20,16,81
Uramaki califórnia,1 unidade,20,10,47
Uramaki salmão,1 unidade,20,4,25
Uva  Rubi,1 unidade,8,1,4
Uva  Vitória,1 cacho pequeno,100,17,67
Uva itália (uva verde),1 unidade,8,1,5
Uva itália (uva verde),1 colher de sopa,30,0.6,20
Uva Niágara - Comum,1 cacho pequeno,100,17,68
Uva passa  Branca,1 colher de sopa,15,12,45
Uva passa escura,1  colher  de sopa,15,12,44
Uva Thompson/Crinson,1 unidade,8,1,4
"Uva, geléia de",1 colher de sopa cheia,20,12,49
Uxi (polpa),1 porção média,100,38,252
Vaca atolada,1 concha média cheia,175,79,639
Vagem cozida,1 colher de sopa cheia,20,2,7
Vatapá,1 unidade,100,10,254
Vieiras,2 unidades  grandes,30,1,26
Vinagre,1 colher de sopa cheia,15,0,2
Vinagre Balsâmico,1 colher de sopa cheia,15,3,14
Vinagrete,1 colher de sopa cheia,30,1,23
Vinho branco demisec,1 taça,150,5,21
Vinho branco seco,1 taça,150,1,99
Vinho Espumante Brut,1 taça,150,3,135
Vinho Espumante doce,1 taça,150,8,147
Vinho quente,1 copo,150,24,98
Vinho rosé,1 taça,150,2,107
Vinho Tinto Seco,1 taça,150,2,108
Vinho Tinto Suave,1 taça,150,5,111
Vitamina de  Frutas com leite e açúcar,1 copo  duplo cheio,240,36,223
Vitamina de  Frutas com leite sem açúcar,1 copo  duplo cheio,240,20,160
Vitela  Assada,1 fatia  grande,100,0,160
Vodka,1 dose,50,0,113
Waffer- média sabores,1 unidade,7,3,21
Waffle tradicional Forno de Minas®,1 1/2 unidade,50,19,161
Wasabi,1 colher de chá,5,2,13
Waxy Maze D-R (Black Skull),1 colher medida,40,38,152
Whey protein concentrado em pó Marcas,1 dosador,30,3,110
Whey protein hidrolisado em pó,1 dosador,30,2,105
Whey protein isolado em pó,1 dosador,30,2,112
Whisky (30 mL) + Energetico Comum (170 ml),1 copo,200,25,160
Whisky (30 mL) + Energético Zero (170 mL),1 copo,200,0,70
Whisky (39%),1 dose,50,0,137
Whopper JR® com queijo (Burguer King),1 unidade,0,31,464
Whopper® com queijo (Burguer King),1 unidade,0,52,757
Whopper® duplo com queijo  (Burguer King),1 unidade,0,52,978
Wrap Chia e quinoa Pullman® (Rap 10),1 unidade,40,17,113
Wrap de salmão (Salad Creations),1 unidade,300,44,377
Wrap fit (Rap 10 Fit),1 unidade,33,17,83
Wrap Fit Pullman® (Rap 10),1 unidade,40,21,52
Wrap integral (Rap 10 fibras),1 unidade,33,14,90
Wrap integral Tá Pronto Wickbold®,1 unidade,40,17,98
Wrap original Tá Pronto Wickbold®,1 unidade,40,22,112
Wrap Proteina (Wickbold),1 e 1/2 unidade,50,22,132
Wrap sem Glúten (Casa Rigani),1 unidade,40,17,84
Wrap tradicional (Rap 10 original),1 unidade,33,15,90
Xilitol,1 colher de chá,3,3,8
Xilitol,1 Colher de Sopa,15,15,36
Xilitol,1 porção,100,99,238
Xinxim de galinha,1 porção,150,1,358
Yacon (batata),1 unidade/porção,100,12,44
Yakimeshi,1 porção,100,21,134
Yakisoba,1 porção média,120,22,146
Yakult,1 unidade,80,11,51
Yakult 40,1 unidade,80,11,51
Yakult 40 light,1 unidade,80,3.5,30
YoPRO Bebida Láctea UHT 15g de proteínas®,1 unidade,250,19,158
YoPRO Bebida Láctea UHT 25g de proteínas®,1 unidade,250,13,188
Sanduiche de peito de peru (Subway®),1 porção de 15cm,219,47,289
Sanduiche de presunto (Subway®),1 porção de 15cm,204,46,273
Sanduiche de rosbife (Subway®),1 porção de 15cm,222,45,304
"Sanduíche misto quente (pão forma integral, c/ presunto e queijo muçarela)",1 unidade,110,26,257
"Sanduíche queijo quente (pão branco tradicional, queijo muçarela e manteiga)",1 unidade,90,24,299
Sanduíche Salada de frango (Bob’s®),1 unidade,0,31,331
Sanduiche Steak churrasco (Subway®),1 porção de 15cm,226,51,378
Sanduiche Subway Club (Subway®),1 porção de 15cm,260,47,335
Sanduiche vegetariano Sub Veg (Subway®),1 porção de 15cm,283,48,654
"Sanduíche, cheese salada (hambúrguer bovino grelhado c/ pão hambúrguer, queijo prato, alface e tomate",1 unidade,210,49,499
"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer, alface e tomate",1 unidade,160,47,334
"Sanduíche, hambúrguer de grão de bico (pão vegano), alface e tomate, c/ maionese vegana",1 unidade,100,32,236
"Sanduíche, pão forma tradicional, atum em conserva e maionese",1 unidade,100,28,225
"Sangria (vinho tinto, água com gás e frutas)",1 copo,150,15,140
Sapoti,1 unidade pequena,50,13,48
Saquê ou Sakê,1 dose,50,3,67
Sarapatel,1 porção,100,1,123
Sardinha assada,1 porção,100,0,164
Sardinha enlatada em molho de tomate,1 unidade média,41,0,108
Sardinha enlatada em óleo,1 unidade média,41,0,116
Sardinha frita,1 unidade média,100,0,257
Sashimi de atum,1 fatia,10,0,12
Sashimi de salmão,1 fatia,10,0,15
Semente de abóbora,1 colher de sopa rasa,7,1,32
Semente de chia,1 colher de sopa,15,6,66
Semente de Gergelim,1 colher de sopa cheia,6,1,37
Semente de girassol com casca,1 colher de sopa cheia,5,1,33
Semente de girassol sem casca,1 colher de sopa cheia,5,1,31
Semente de linhaça dourada,1 colher de sobremesa rasa,8,3,42
Semente de linhaça marrom,1 colher de sobremesa rasa,8,0,32
Semente de linhaça moída,1/2 colher de sopa cheia,8,0,32
Sex on the beach,1 coquetel,225,30,326
Shimeji / Shitake,1 porção,100,6,190
Shoyu light,1 colher de sopa,12,1.4,7
Siri cozido,1 unidade pequena,16,0,15
Siriguela,1 unidade,20,40,15
Snacks de soja Good Soy Believe® (sabores),1 pacote,25,17,100
Soja cozida,1 colher de servir cheia,28,4,44
Sopa caldo verde,1 concha média,130,8,104
"Sopa canja (frango, peito, c/ cenoura, batata, tomate e aipo (salsão), arroz polido)",1 concha média,130,8,90
Sopa de cebola (caldo),1 concha média,140,8,38
Sopa de cogumelo (caldo),1 concha média,130,2,10
Sopa de creme de ervilha industrializada,1 concha média,130,6,37
Sopa de ervilha,1 concha média,130,26,165
Sopa de espinafre (creme),1 concha média,130,6,64
Sopa de feijão,1 concha média,130,14,71
Sopa de feijão branco (Cassoulet),1 concha média,100,9,171
Sopa de feijão com macarrão,1 concha média,130,30,211
Sopa de inhame,1 concha média,130,13,70
Sopa de legumes,1 concha média,130,12,73
Sopa de legumes com carne,1 concha média,130,4,103
Sopa de legumes com frango,1 concha média,130,5,81
Sopa de lentilha,1 concha média,130,16,108
Sopa de macarrão com vegetais,1 concha média,130,15,79
Sopa de mandioca (aipim / macaxeira),1 concha média,130,18,85
Sopa de milho (fubá),1 concha média,130,17,90
Sopa italiana Minestrone,1 concha média,160,14,74
Sorvete (casquinha) baunilha  (Bob’s)®,1 unidade,0,28,176
Sorvete (média),1 bola média,60,19,161
Sorvete de casquinha baunilha (Mc’Donalds)®,1 unidade,0,31,185
Sorvete de casquinha chocolate (Mc’Donalds)®,1 unidade,0,31,192
Sorvete de casquinha mista (Mc’Donalds),1 unidade,0,31,182
Sorvete de creme Kibon ®,1 bola média,60,14,102
Sorvete diet/light (média),1 bola média,60,10,62
Sorvete Garoto chocolate ao leite®,1 bola média,60,17,123
Sorvete Garoto chocolate branco e negresco®,1 bola média,60,12,112
Sorvete Gelato Cioccolato diet Bacio di Late®,1 bola,60,11,90
Sorvete Gelato Cioccolato diet Bacio di Late®,1 bola,60,11,90
Sorvete Kibon Cremosíssimo Napolitano®,1 bola média,60,16,116
Sorvete Kibon Deliciosamente Vegano®,1 pote,800,24,180
Sorvete light sabor baunilha La Basque®,1 bola média,60,13,86
Sorvete light sabor chocolate La Basque®,1 bola média,60,13,90
Sorvete linha zero Itália® sabor choco chips,1 bola,60,6,82
Sorvete linha zero Itália® sabor choco chips,1 bola,60,6,82
Sorvete linha zero Itália® sabor chocolate,1 bola,60,15,102
Sorvete linha zero Itália® sabor chocolate,1 bola,60,15,102
Sorvete linha zero Itália® sabor chocolate belga,1 bola,60,4,78
Sorvete linha zero Itália® sabor chocolate belga,1 bola,60,4,78
Sorvete linha zero Itália® sabor coco,1 bola,60,14,108
Sorvete linha zero Itália® sabor coco,1 bola,60,14,108
Sorvete linha zero Itália® sabor flocos,1 bola,60,6,81
Sorvete linha zero Itália® sabor flocos,1 bola,60,6,81
Sorvete linha zero Itália® sabor manga,1 bola,60,12,50
Sorvete linha zero Itália® sabor manga,1 bola,60,12,50
Sorvete linha zero Itália® sabor morango,1 bola,60,12,88
Sorvete linha zero Itália® sabor morango,1 bola,60,12,88
Sorvete linha zero Itália® sabor pistache,1 bola,60,14,79
Sorvete linha zero Itália® sabor pistache,1 bola,60,14,79
Sorvete linha zero Itália® sabor tapioca,1 bola,60,6,83
Sorvete linha zero Itália® sabor tapioca,1 bola,60,6,83
Sorvete linha zero Itália® sabor vanilla,1 bola,60,4,63
Sorvete linha zero Itália® sabor vanilla,1 bola,60,4,63
Sorvete Moça brigadeiro®,1 bola média,60,19,112
Sorvete Sensação®,1 bola média,60,17,120
Sorvete zero açúcar Chicabon Kibon®,1 bola média,60,9,66
Sorvete zero açúcar sabor chocolate LosLos®,1 bola média,60,16,106
Sorvete zero açúcar sabor Frutas Vermelhas Eskimó®,1 bola média,60,13,81
Sorvete zero açúcar sabor napoliano Nestlé®,1 bola média,60,4,71
Sorvete zero Chicabon ®,1 bola média,60,9,66
Sorvete zero sabor napolitano Frosty®,1 bola média,60,52,8
Stacker Duplo Bacon (Burguer King)®,1 unidade,0,20,157
Strogonofe de pinhão com shitake,1 porção,250,48,374
Strogonoff de carne,1 colher de sopa cheia,25,1,42
Strogonoff de frango,1 colher de sopa cheia,25,1,38
Strudel de maçã,1 fatia pequena,50,21,137
Strudel de queijo,1 fatia fina,76,22,188
Suco de abacaxi com açúcar,1 copo duplo cheio,240,27,112
Suco de abacaxi sem açúcar,1 copo duplo cheio,240,10,41
Suco de açaí com xarope,1 copo,200,60,365
Suco de acerola com açúcar,1 copo duplo cheio,240,15,62
Suco de acerola com laranja sem açúcar,1 copo,200,25,113
Suco de acerola sem açúcar,1 copo duplo cheio,240,3,15
Suco de caju sem açúcar,1 copo,200,3,11
Suco de graviola sem açúcar,1 copo,200,7,35
Suco de laranja 100% Maratá,1 copo,200,21,84
Suco de laranja diluído (meio a meio) sem açúcar,1 copo,200,11,45
Suco de laranja e cenoura sem açúcar,1 copo,200,15,66
Suco de laranja sem açúcar,1 copo,200,21,90
Suco de maçã Campo Largo®,1 copo,200,23,93
Suco de maçã Natural One®,1 copo,200,24,96
Suco de maçã Yakult® (100% suco),1 unidade,200,20,80
Suco de mamão com laranja sem açúcar,1 copo,200,26,110
Suco de mamão sem açúcar,1 copo,200,11,46
Suco de manga sem açúcar,1 copo,200,10,40
Suco de maracujá com açúcar,1 copo,200,12,52
Suco de melancia sem açúcar,1 copo,200,19,88
Suco de melão com açúcar,1 copo duplo cheio,240,19,77
Suco de morango com açúcar,1 copo duplo cheio,240,19,83
Suco de morango sem açúcar,1 copo duplo cheio,240,9,38
Suco de pessego néctar (com açúcar),1 copo duplo cheio,240,33,134
Suco de pêssego sem açúcar,1 copo,200,7,32
Suco de tangerina (mexerica) sem açúcar,1 copo,200,18,86
Suco de tomate sem açúcar,1 copo,200,9,38
Suco de uva integral,1 copo duplo cheio,240,35,146
Suco de uva Kapo®,1 caixinha,200,19,79
Suco Del Valle® (média),1 copo,200,28,112
Suco Del Valle® light (média),1 copo,200,6,24
Suco Maguary® sem açúcar,1 copo,200,3,14
Suco natural de maracujá sem açúcar,1 copo,200,2,14
"Suco natural, melão s/ açúcar",1 copo duplo cheio,240,7,31
Suco Tang®,1 copo,200,21,84
Sucrilhos Kelloggs® Cereal Matinal,1 xícara,30,26,109
Suflê de alho poró com molho branco e parmesão,1 colher de servir,60,8,123
Suflê de batata baroa com molho branco e parmesão,1 colher de servir,60,8,83
Suflê de frango com molho branco e parnmesão,1 colher de servir,60,5,97
Sundae caramelo (Mc’Donalds) ®,1 unidade,0,48,310
Sundae chocolate (Bob’s) ®,1 unidade,172,80,463
Sundae Chocolate (Bob’s)®,1 unidade,0,49,331
Abacate,1 fatia,90,5,86
Abacate (picadinho),1 colher de sopa,45,3,34
Abacaxi,1 fatia média,75,10,44
Abacaxi em calda,1 fatia média,64,19,78
"Abacaxi, polpa, congelada",1 unidade,100,8,31
"Abacaxi, suco de com acucar",1 copo duplo cheio,240,25,103
Abadejo assado,1 filé médio,100,0,112
Abará,1 unidade média,170,24,414
Abiu cru,1 unidade,100,15,62
